Fri Sep  5 13:24:04 2025    profilingResults.cprof

         424335 function calls (421737 primitive calls) in 1.318 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      299    0.971    0.003    0.971    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.032    0.032    0.032    0.032 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.031    0.031    0.031    0.031 {method 'connect' of '_socket.socket' objects}
     3334    0.024    0.000    0.132    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:389(parse_starttag)
        1    0.024    0.024    0.024    0.024 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    33774    0.019    0.000    0.019    0.000 {method 'match' of 're.Pattern' objects}
        2    0.017    0.008    0.216    0.108 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:189(goahead)
     3334    0.012    0.000    0.055    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/__init__.py:990(handle_starttag)
     3334    0.009    0.000    0.014    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
     3130    0.008    0.000    0.044    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:447(parse_endtag)
     6922    0.007    0.000    0.029    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/__init__.py:829(endData)
     3335    0.006    0.000    0.023    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/element.py:1627(__init__)
     3334    0.006    0.000    0.064    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:142(handle_starttag)
10036/7535    0.006    0.000    0.013    0.000 {method 'sub' of 're.Pattern' objects}
    19215    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
     9805    0.005    0.000    0.005    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/element.py:377(setup)
     3334    0.005    0.000    0.030    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:204(handle_endtag)
    13207    0.005    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/_markupbase.py:44(updatepos)
     3333    0.004    0.000    0.009    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/__init__.py:953(_popToTag)
     3235    0.004    0.000    0.010    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/__init__.py:870(object_was_parsed)
     6745    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
    21580    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     3235    0.004    0.000    0.007    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/element.py:1292(__new__)
    18899    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        1    0.003    0.003    0.003    0.003 {method 'decompress' of 'zlib.Decompress' objects}
     9725    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     3335    0.003    0.000    0.004    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/__init__.py:812(pushTag)
    17694    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
     3235    0.003    0.000    0.005    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/__init__.py:735(string_container)
    17673    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
     2354    0.003    0.000    0.008    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/filter.py:617(_attribute_match)
        1    0.003    0.003    0.003    0.003 {built-in method _socket.getaddrinfo}
     2354    0.003    0.000    0.012    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/filter.py:539(matches_tag)
     3334    0.003    0.000    0.003    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/__init__.py:789(popTag)
20650/20644    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
     3333    0.003    0.000    0.026    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/__init__.py:1056(handle_endtag)
     2501    0.003    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/__init__.py:91(_replace_charref)
     3270    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x1059b4058}
     7535    0.002    0.000    0.016    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:104(_unescape_attrvalue)
     7666    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/typing.py:426(inner)
       42    0.002    0.000    0.020    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/filter.py:130(filter)
