Wed Sep  3 01:14:46 2025    profilingResults.cprof

         439021 function calls (436378 primitive calls) in 6.403 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
      314    0.966    0.003    0.966    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.039    0.039    0.039    0.039 {built-in method _socket.getaddrinfo}
        1    0.038    0.038    0.038    0.038 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.031    0.031    0.031    0.031 {method 'connect' of '_socket.socket' objects}
        1    0.031    0.031    0.031    0.031 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     3444    0.025    0.000    0.135    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:389(parse_starttag)
    34955    0.020    0.000    0.020    0.000 {method 'match' of 're.Pattern' objects}
        2    0.017    0.009    0.222    0.111 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:189(goahead)
        1    0.011    0.011    0.011    0.011 {built-in method _scproxy._get_proxy_settings}
     3444    0.010    0.000    0.056    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/__init__.py:990(handle_starttag)
     3444    0.010    0.000    0.015    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
     3240    0.009    0.000    0.046    0.000 /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:447(parse_endtag)
     3321    0.007    0.000    0.007    0.000 {built-in method __new__ of type object at 0x103868058}
     3445    0.007    0.000    0.025    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/element.py:1627(__init__)
     7142    0.007    0.000    0.030    0.000 /Users/valeriyamaidanova/Documents/21school/DSBootcamp/day03/src/ex00/youngtar/lib/python3.13/site-packages/bs4/__init__.py:829(endData)
    19688    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
